system:index,radiance,year,.geo
0,16.16490699933043,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,15.970698982178712,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,15.912894099062353,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,16.098350431253092,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,16.032830522226444,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,15.959246493050317,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,16.01506394883881,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,16.01491214961391,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,15.96852467180672,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,16.224997454655266,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,15.879446402814292,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,16.05311013160234,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,16.648569400974917,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
