system:index,radiance,year,.geo
0,59.026029339431894,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,54.927456756986565,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,52.447821612884994,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,49.62699310070767,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,54.94612239170402,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,54.24788608823128,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,52.86933382849163,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,58.90875354853745,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,65.8642562742456,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,58.82768411807557,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,62.60973873687546,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
