system:index,radiance,year,.geo
0,14.427167554338299,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,12.89025864172108,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,12.147147461637498,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,12.506194735938308,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,12.291282868642167,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,14.157235420342923,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,13.670150573346692,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,13.42090667461306,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,17.43648422442306,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,8.385187363474891,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,7.304148236535478,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,7.705515269711119,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,7.519355276171776,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
