system:index,radiance,year,.geo
0,9.854108365508827,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,9.68323247595353,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,9.592199229239549,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,9.26009909707443,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,9.154134189200148,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,9.36911253353006,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,9.19224088293922,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,9.002984779016865,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,8.86836115760679,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,8.694008514023597,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,7.13819295432814,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,6.554423771609168,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,6.608058029733764,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
