system:index,radiance,year,.geo
0,0.9547603568994012,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.1005404119654307,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.2467338095737608,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.1389577158499415,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.2375650627206654,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2.0424990181306115,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.7052646018672357,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.8364252481668997,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.5667262243799989,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.8445080071627606,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.2808153320774025,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.29580226823055,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.2292162318297324,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
